Name,Street1,Street2,Street3,City,State,Zip,Sales Rep,SalesRepPS,Last Order,Last Contact,Rolling 12 Months Sales,Rolling 12 Months Sales LY,Balance,Tags Included,Tags Excluded
Shake Shack,225 Varick St ,Suite 301,,New  York,NY,10014,Mike Sparaco,Mike Sparaco,04/04/23,04/05/23,"$938,441.28","$623,765.81","$104,826.66",,
Toy Temple,,,,,,,Emilie McCauley,Emilie McCauley,03/29/23,04/02/23,"$12,792.02","$9,545.80",$0.00,,
Chamberlin & Associates LLC,2712 N 7th Street,,,Phoenix,AZ,85006,Nick Mardis,Nick Mardis,03/10/23,03/16/23,"$9,850.83","$8,625.20",$0.00,,
Goode Surgical,3145 St. Rose Pkwy,Suite 121,,Henderson,NV,89052,Nick Mardis,Nick Mardis,03/24/23,03/21/23,"$4,469.31","$1,813.60",$0.00,,
GoldBook Financial,4900 N. Scottsdale Road,Suite 4000,,Scottsdale,AZ,85251,Michael Sinkula,Michael  Sinkula,03/29/23,04/05/23,"$3,063.91","$1,309.37",$0.00,,
Salt River Project - SRP,101 W. Operations Drive,,,Tempe,AZ,85281,Phil Hinson,Phil Hinson,02/03/23,02/14/23,"$2,815.43",$0.00,$0.00,,
Erbe Medical ,,,,,,,Nick Mardis,Nick Mardis,04/05/23,03/18/23,"$2,389.51",$0.00,$0.00,,
Blessed is She,"400 S Clark Drive, Suite 104 ",,,Tempe,AZ,85281,Nick Mardis,Nick Mardis,08/24/22,09/28/22,"$1,881.17",$0.00,$0.00,,
United Dairymen of Arizona,2008 S. Hardy,,,Tempe,AZ,85282,Nick Mardis,Nick Mardis,04/05/22,04/20/22,"$1,800.72",$0.00,$0.00,,
Maricopa Community College - Master - SB,2411 W. 14th St.  ,,,Tempe,AZ,85281,Phil Hinson,Phil Hinson,03/28/23,04/02/23,"$1,684.95",$0.00,$0.00,,
First Transit,2050 West Rio Salado Parkway,,,Tempe,AZ,,Nick Mardis,Nick Mardis,03/14/23,03/27/23,"$1,633.52","$2,838.63",$0.00,,
Fluoresco Lighting and Signs,4048 E Superior Ave,,,Phoenix,AZ,85040,Charles Goffnett,Charles Goffnett,03/14/23,03/15/23,"$1,360.08","$1,057.40",$0.00,,
Bryan University,350 W Washington St,Suite 100,,Tempe,AZ,85281,Phil Hinson,Phil Hinson,03/08/23,03/16/23,"$1,231.82","$1,154.91",$0.00,,
Innova,,,,,,,Nick Mardis,Nick Mardis,10/19/22,03/16/23,"$1,181.15",$0.00,$0.00,,
ASU/Film,,,,,,85281,Nick Mardis,Nick Mardis,09/26/22,10/05/22,"$1,081.55",$0.00,$0.00,,
Tempe Tourism Office,,,,,,,Phil Hinson,Phil Hinson,01/06/23,03/08/23,$905.92,$0.00,$0.00,,
Messina Design,,,,,,,Emilie McCauley,Emilie McCauley,07/06/22,07/18/22,$858.92,$0.00,$0.00,,
Science Prep Academy,1375 E. Broadway Rd.,,,Phoenix,AZ,85040,Nick Mardis,Nick Mardis,05/20/22,08/31/22,$829.05,$0.00,$0.00,,
360 Industrial Services,2005 W 14th St.,Suite 134,,Tempe,AZ,85281,Phil Hinson,Phil Hinson,08/09/22,03/07/23,$777.38,$0.00,$0.00,,
Allen & Philp Architects,7154 East Stetson Drive,Fourth Floor,,Scottsdale,AZ,85251,Nick Mardis,Nick Mardis,08/22/22,09/13/22,$758.44,$0.00,$0.00,,
Insight,6820 S Harl Ave,,,Tempe,AZ,85283,Phil Hinson,Phil Hinson,02/08/23,03/07/23,$525.47,$438.04,$0.00,,
Eat Clean Phx,,,,,,,Nick Mardis,Nick Mardis,10/31/22,11/09/22,$525.14,$687.50,$0.00,,
Plexus Worldwide,,,,,,,Nick Mardis,Nick Mardis,09/01/22,09/08/22,$462.28,$0.00,$0.00,,
Family Tree Health Care,7002 S Central Ave ,,,Phoenix,AZ,85042,Nick Mardis,Nick Mardis,08/23/22,10/04/22,$372.87,$0.00,$0.00,,
"Goffnett, Inc.",1322 E Earll Dr.,,,Phoenix,AZ,85014,Charles Goffnett,Charles Goffnett,01/06/23,03/24/23,$271.02,$175.45,$0.00,,
AC Hotel Tempe,100 E Rio Salado Pkwy,,,Tempe,AZ,85281,Phil Hinson,Phil Hinson,08/19/22,03/07/23,$178.42,$0.00,$0.00,,
Juut Salonspa,520 S Mill Ave #205,,,Tempe,AZ,85281,Nick Mardis,Nick Mardis,06/01/22,03/23/23,$161.59,$109.96,$0.00,,
East Valley Exotics,,,,,AZ,,Nick Mardis,Nick Mardis,07/22/22,08/16/22,$150.10,$728.11,$0.00,,
Medtronic  (Acquire CC of buyer),2343 W. Medtronic Way,,,Tempe,AZ,85281-5133,Nick Mardis,Nick Mardis,07/28/22,10/27/22,$143.98,$426.81,$0.00,,
Scottsdale Aquatic Club,7202 E Cactus Road,,,Scottsdale,AZ ,85260,,Dormant US004,05/23/22,06/01/22,$138.45,$0.00,$0.00,,
ASU CHAARGE ,,,,,,,Nick Mardis,Nick Mardis,,08/17/22,$119.66,$0.00,$0.00,,
"Service & Sales, Inc.",1853 E 3rd St,,,Tempe,AZ,85281,,,02/14/23,03/01/23,$97.67,$178.02,$0.00,,
Calcon Construction,615 S. Farmer Ave,#1004,,Tempe,AZ,85281,Nick Mardis,Nick Mardis,12/24/20,07/30/22,$57.49,$0.00,$0.00,,
Architekton,464 South Farmer Avenue,Suite 101,,Tempe,AZ,85281,Nick Mardis,Nick Mardis,06/06/22,03/16/23,$41.19,$90.95,$0.00,,
"Copperstate Farms Mgmnt, LLC",650 N Industrial Dr,,,Snowflake,AZ,85937,Michael Sinkula,Michael  Sinkula,06/17/21,02/10/23,$0.00,"$5,119.75",$0.00,,
The Phoenix Theatre Company,1825 N Central Avenue,,,Phoenix,AZ,85004,Phil Hinson,Phil Hinson,07/01/21,03/07/23,$0.00,"$3,022.47",$0.00,,
ASU/Institute of Humanities Research,"Social Sciences Bldg, Room 107",PO Box 876505,,Tempe,AZ,85287,,AlphaGraphics Retail Team US004,12/09/21,02/09/23,$0.00,"$2,807.84",$0.00,,
AmeriPark,125 N. 2nd Street Ste 110,,,Phoenix,AZ  ,85004,Charles Goffnett,Charles Goffnett,05/04/21,02/09/23,$0.00,"$1,953.87",$0.00,,
Swift Aviation Services (Jackson Jet),2710 E Old Tower Rd,,,Phoenix,AZ,85034-6001,Michael Sinkula,Michael  Sinkula,11/12/21,02/09/23,$0.00,"$1,108.97",$0.00,,
Industry Extracts, 21407 N Central Ave  ,,,Phoenix,AZ,85024,Michael Sinkula,Michael  Sinkula,04/05/21,02/09/23,$0.00,$999.98,$0.00,,
Tony Nelson Fitness,,,,,,,Nick Mardis,Nick Mardis,10/15/21,02/09/23,$0.00,$976.63,$0.00,,
ADP,111 W Rio Salado Pkwy,,,Tempe,AZ,85281,Nick Mardis,Nick Mardis,07/26/21,02/09/23,$0.00,$716.37,$0.00,,
ASU/New Student and Family Programs,301. East Orange Street ,Suite 310,,Tempe,AZ,85287,,Hector Salas-Selem,01/05/22,02/09/23,$0.00,$382.65,$0.00,,
First Solar,350 W Washington St #600,,,Tempe,AZ,85281,Charles Goffnett,Charles Goffnett,03/23/22,03/16/23,$0.00,$298.35,$0.00,,
B2B CFO (CC)  (Templates),316 South Rochester Court,,,Gilbert,AZ,85296,Nick Mardis,Nick Mardis,04/07/21,02/10/23,$0.00,$296.42,$0.00,,
Tempe Center for the Arts,700 W. Rio Salado Parkway,,, TEMPE,AZ , 85281,Phil Hinson,Phil Hinson,11/05/21,11/06/21,$0.00,$204.75,$0.00,,
Desert Botanical Garden,1201 N. Galvin Parkway,,,Phoenix,AZ,85008,,Dormant US004,11/17/21,02/10/23,$0.00,$159.50,$0.00,,
"Eubanks, Ryne",,,,,,,Charles Goffnett,Charles Goffnett,01/26/22,02/10/23,$0.00,$150.01,$0.00,,
Perfect Game,,,,,,,Charles Goffnett,Charles Goffnett,01/26/22,02/09/22,$0.00,$59.05,$0.00,,
414 Pub & Pizza,"414 S Mill Ave Sute 118, STE 118",,,Tempe,AZ,85281,Preston Troy,Preston Troy,,,$0.00,$0.00,$0.00,,
